respondent_id,hidden_persona,age_group,gender,city_tier,region,occupation,income_range,accessory_purchase_frequency,preferred_shopping_channel,premium_purchase_driver,sustainability_importance,prior_eco_purchase,plant_based_leather_awareness,familiarity_with_sustainable_materials,preferred_material,openness_to_try,perceived_durability_vs_leather,preferred_first_experience,intended_use_case,preferred_finish,preferred_brand_style,preferred_brand_story,usual_budget_small_accessory,usual_budget_large_accessory,willingness_to_pay_extra,preferred_offer,likelihood_to_recommend,estimated_spending_score,purchase_intent_5level,purchase_intent_binary,interest_handbags,interest_wallets,interest_belts,interest_footwear,interest_tech_accessories,interest_apparel,interest_home_decor,interest_corporate_gifts,trust_premium_design,trust_durability,trust_water_resistance,trust_luxury_branding,trust_certification,trust_made_in_india,trust_farmer_story,trust_reasonable_pricing,concern_durability,concern_quality,concern_low_awareness,concern_high_price,concern_brand_trust,concern_appearance,concern_availability
660,Design-first urban buyers,25-34,Female,Metro,North,Creative Professional,Above 200k,Almost never,E-commerce marketplace,Quality/Durability,4,Heard of them but never purchased,"Yes, a little",4,Genuine leather,5,4,Designer boutique,Special occasions,Minimal modern,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Limited edition packaging,5,100,Definitely would buy,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
661,Design-first urban buyers,35-44,Female,Tier 1,South,Freelancer,50k-100k,Monthly,Shopping mall/store,Quality/Durability,3,No,"Yes, know it well",5,Vegan leather,4,4,Designer boutique,Office/professional use,Classic leather-like,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Customization offer,5,100,Definitely would buy,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
662,Conscious gifting buyers,35-44,Male,Tier 2,Central,Salaried,25k-50k,Rarely,Shopping mall/store,Quality/Durability,5,"Yes, occasionally",Heard the term only,2,Genuine leather,3,3,Designer boutique,Office/professional use,Matte natural,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,Limited edition packaging,3,98,Definitely would buy,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
663,Eco-conscious premium adopters,25-34,Female,Tier 2,Central,Freelancer,50k-100k,Very often,Instagram/social commerce,Quality/Durability,4,"Yes, frequently","Yes, a little",3,Genuine leather,5,3,Designer boutique,Daily personal use,Classic leather-like,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Customization offer,5,100,Definitely would buy,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
664,Eco-conscious premium adopters,25-34,Male,Tier 1,Northeast,Salaried,No income,Once in 2-3 months,E-commerce marketplace,Design/Aesthetics,5,Heard of them but never purchased,"Yes, know it well",5,Natural handcrafted material,5,3,Social media page,Office/professional use,Textured artisan,Sustainable and conscious,Supports Northeast farmers,Above 10000,Above 20000,0%,Combo/bundle offer,5,99,Definitely would buy,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
665,Design-first urban buyers,18-24,Female,Metro,Central,Salaried,No income,Monthly,Shopping mall/store,Quality/Durability,4,Heard of them but never purchased,"Yes, know it well",3,Vegan leather,4,4,Premium offline store,Daily personal use,Glossy luxury,Sustainable and conscious,Cruelty-free innovation,Above 10000,Above 20000,11%-20%,Loyalty discount,5,100,Definitely would buy,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
666,Skeptical traditional buyers,55+,Prefer not to say,Tier 2,East,Creative Professional,100k-200k,Rarely,E-commerce marketplace,Design/Aesthetics,2,"Yes, occasionally","Yes, a little",3,Fabric/Canvas,2,2,Premium offline store,Office/professional use,Matte natural,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,First-time buyer discount,1,100,Not sure,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
667,Skeptical traditional buyers,45-54,Female,Tier 3,Northeast,Salaried,25k-50k,Rarely,Shopping mall/store,Quality/Durability,2,"Yes, frequently","No, never heard of it",1,Vegan leather,1,2,Marketplace,Daily personal use,Matte natural,Youthful and trendy,Modern premium Indian roots,2501-5000,5001-10000,Up to 5%,First-time buyer discount,1,63,Definitely would not buy,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
668,Conscious gifting buyers,45-54,Male,Tier 2,Central,Salaried,25k-50k,Very often,E-commerce marketplace,Exclusivity,3,"Yes, frequently","Yes, a little",5,Recycled material,3,2,Social media page,Fashion/styling,Matte natural,Minimal and modern,Agri-waste innovation,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,1,100,Not sure,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
669,Design-first urban buyers,25-34,Male,Tier 1,North,Salaried,25k-50k,Monthly,Brand website,Design/Aesthetics,3,"Yes, frequently",Heard the term only,2,Recycled material,5,2,Social media page,Fashion/styling,Minimal modern,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Loyalty discount,4,100,Definitely would buy,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0
670,Design-first urban buyers,18-24,Female,Metro,West,Creative Professional,Below 25k,Once in 2-3 months,E-commerce marketplace,Brand Image,4,Heard of them but never purchased,"Yes, know it well",4,Genuine leather,5,3,Social media page,Fashion/styling,Textured artisan,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Free shipping,5,100,Definitely would buy,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
671,Eco-conscious premium adopters,35-44,Female,Tier 2,Northeast,Homemaker,Above 200k,Monthly,Instagram/social commerce,Quality/Durability,5,"Yes, occasionally","Yes, a little",3,Vegan leather,4,3,Social media page,Fashion/styling,Minimal modern,Sustainable and conscious,Agri-waste innovation,Above 10000,Above 20000,Above 20%,Limited edition packaging,4,100,Definitely would buy,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0
672,Value-seeking curious buyers,18-24,Male,Tier 1,East,Salaried,Above 200k,Rarely,Instagram/social commerce,Quality/Durability,3,Heard of them but never purchased,"No, never heard of it",1,Natural handcrafted material,3,3,Designer boutique,Unlikely to buy,Glossy luxury,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,11%-20%,Loyalty discount,4,100,Definitely would buy,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
673,Conscious gifting buyers,35-44,Male,Tier 1,North,Salaried,50k-100k,Once in 2-3 months,Brand website,Exclusivity,5,"Yes, frequently",Heard the term only,2,Vegan leather,4,3,Pop-up exhibition,Gifting,Classic leather-like,Minimal and modern,Cruelty-free innovation,Above 10000,Above 20000,0%,Combo/bundle offer,4,100,Definitely would buy,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
674,Skeptical traditional buyers,55+,Female,Rural,South,Salaried,No income,Once in 2-3 months,Shopping mall/store,Price/Value,2,"Yes, occasionally","No, never heard of it",1,Genuine leather,1,3,Premium offline store,Unlikely to buy,Matte natural,Minimal and modern,Modern premium Indian roots,1000-2500,2000-5000,6%-10%,First-time buyer discount,2,49,Definitely would not buy,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
675,Value-seeking curious buyers,18-24,Female,Tier 1,East,Salaried,25k-50k,Monthly,Exhibitions/pop-ups,Quality/Durability,3,Heard of them but never purchased,Heard the term only,3,Natural handcrafted material,5,2,Marketplace,Office/professional use,Matte natural,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Free shipping,4,100,Definitely would buy,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
676,Design-first urban buyers,25-34,Male,Tier 1,Central,Business Owner,50k-100k,Rarely,Boutique/designer store,Design/Aesthetics,4,No,"Yes, know it well",4,Vegan leather,5,3,Designer boutique,Fashion/styling,Classic leather-like,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Customization offer,3,100,Definitely would buy,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
677,Conscious gifting buyers,35-44,Female,Tier 1,Northeast,Salaried,25k-50k,Almost never,Boutique/designer store,Quality/Durability,4,"Yes, occasionally",Heard the term only,1,Vegan leather,4,3,Online store,Gifting,Classic leather-like,Handcrafted and artisanal,Sustainable luxury,Above 10000,Above 20000,Above 20%,Loyalty discount,4,100,Definitely would buy,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
678,Value-seeking curious buyers,18-24,Non-binary,Tier 2,North,Homemaker,No income,Once in 2-3 months,Instagram/social commerce,Quality/Durability,3,"Yes, occasionally",Heard the term only,3,Recycled material,3,3,Marketplace,Daily personal use,Classic leather-like,Youthful and trendy,Agri-waste innovation,5001-10000,10001-20000,6%-10%,Combo/bundle offer,4,70,Definitely would buy,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
679,Eco-conscious premium adopters,35-44,Male,Metro,East,Business Owner,25k-50k,Monthly,Exhibitions/pop-ups,Price/Value,5,Heard of them but never purchased,"Yes, a little",3,Natural handcrafted material,5,5,Online store,Fashion/styling,Glossy luxury,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,Above 20%,Combo/bundle offer,5,100,Definitely would buy,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
680,Design-first urban buyers,25-34,Female,Metro,South,Salaried,No income,Monthly,Shopping mall/store,Design/Aesthetics,4,"Yes, frequently",Heard the term only,3,Vegan leather,4,4,Online store,Fashion/styling,Matte natural,Minimal and modern,Cruelty-free innovation,Above 10000,Above 20000,0%,Limited edition packaging,5,100,Definitely would buy,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
681,Eco-conscious premium adopters,35-44,Female,Tier 2,East,Salaried,50k-100k,Monthly,Brand website,Exclusivity,5,Heard of them but never purchased,"Yes, know it well",5,Vegan leather,5,5,Designer boutique,Special occasions,Minimal modern,Sustainable and conscious,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Loyalty discount,5,100,Definitely would buy,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
682,Eco-conscious premium adopters,18-24,Male,Tier 2,East,Homemaker,50k-100k,Rarely,Boutique/designer store,Quality/Durability,4,No,Heard the term only,2,Vegan leather,4,4,Designer boutique,Special occasions,Glossy luxury,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,6%-10%,Customization offer,3,100,Definitely would buy,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
683,Eco-conscious premium adopters,18-24,Female,Tier 2,Northeast,Creative Professional,100k-200k,Almost never,E-commerce marketplace,Price/Value,4,No,"Yes, a little",5,Vegan leather,4,4,Marketplace,Special occasions,Classic leather-like,Luxury and premium,Agri-waste innovation,Above 10000,Above 20000,Above 20%,Combo/bundle offer,4,100,Definitely would buy,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
684,Value-seeking curious buyers,25-34,Female,Metro,North,Creative Professional,Below 25k,Once in 2-3 months,Boutique/designer store,Quality/Durability,3,"Yes, occasionally","Yes, a little",4,Recycled material,3,3,Premium offline store,Fashion/styling,Minimal modern,Handcrafted and artisanal,Cruelty-free innovation,Above 10000,Above 20000,Up to 5%,First-time buyer discount,1,95,Definitely would buy,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
685,Value-seeking curious buyers,25-34,Male,Tier 1,Central,Salaried,25k-50k,Monthly,Shopping mall/store,Quality/Durability,2,"Yes, frequently","Yes, a little",4,No strong preference,4,4,Social media page,Special occasions,Minimal modern,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,Customization offer,4,100,Definitely would buy,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
686,Design-first urban buyers,35-44,Male,Metro,South,Homemaker,100k-200k,Rarely,Boutique/designer store,Quality/Durability,3,"Yes, frequently","Yes, know it well",5,Natural handcrafted material,5,3,Premium offline store,Office/professional use,Matte natural,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,6%-10%,Customization offer,5,100,Definitely would buy,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
687,Value-seeking curious buyers,18-24,Female,Tier 2,Central,Salaried,50k-100k,Almost never,Exhibitions/pop-ups,Price/Value,2,Heard of them but never purchased,"Yes, know it well",5,No strong preference,3,4,Premium offline store,Unlikely to buy,Classic leather-like,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,2,89,Probably would buy,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1
688,Conscious gifting buyers,45-54,Non-binary,Tier 1,South,Creative Professional,25k-50k,Once in 2-3 months,Shopping mall/store,Sustainability,3,No,"Yes, a little",4,Natural handcrafted material,3,4,Social media page,Office/professional use,Classic leather-like,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,First-time buyer discount,3,100,Definitely would buy,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
689,Skeptical traditional buyers,55+,Female,Tier 1,South,Salaried,25k-50k,Monthly,E-commerce marketplace,Brand Image,2,"Yes, occasionally","No, never heard of it",2,Fabric/Canvas,3,2,Marketplace,Daily personal use,Matte natural,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,0%,Loyalty discount,3,100,Probably would buy,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
690,Value-seeking curious buyers,25-34,Female,Metro,East,Salaried,25k-50k,Once in 2-3 months,Shopping mall/store,Price/Value,4,"Yes, occasionally","Yes, a little",2,Fabric/Canvas,3,3,Premium offline store,Unlikely to buy,Classic leather-like,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,Up to 5%,Loyalty discount,2,100,Definitely would buy,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
691,Design-first urban buyers,25-34,Female,Metro,Central,Salaried,25k-50k,Once in 2-3 months,E-commerce marketplace,Quality/Durability,4,"Yes, occasionally","Yes, know it well",4,Vegan leather,3,5,Premium offline store,Fashion/styling,Matte natural,Minimal and modern,Cruelty-free innovation,Above 10000,Above 20000,Above 20%,Limited edition packaging,3,100,Definitely would buy,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
692,Conscious gifting buyers,45-54,Non-binary,Tier 2,East,Business Owner,25k-50k,Once in 2-3 months,Exhibitions/pop-ups,Exclusivity,4,"Yes, occasionally","Yes, a little",4,Natural handcrafted material,3,4,Social media page,Unlikely to buy,Textured artisan,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,5,100,Definitely would buy,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
693,Design-first urban buyers,25-34,Female,Metro,North,Creative Professional,50k-100k,Rarely,Boutique/designer store,Design/Aesthetics,3,"Yes, occasionally","Yes, a little",4,Vegan leather,5,4,Pop-up exhibition,Fashion/styling,Matte natural,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Combo/bundle offer,4,100,Definitely would buy,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
694,Design-first urban buyers,18-24,Female,Tier 1,Northeast,Student,Below 25k,Monthly,Instagram/social commerce,Brand Image,4,Heard of them but never purchased,"Yes, a little",3,Recycled material,5,4,Marketplace,Daily personal use,Classic leather-like,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Customization offer,3,100,Definitely would buy,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
695,Conscious gifting buyers,25-34,Male,Tier 1,East,Salaried,50k-100k,Monthly,E-commerce marketplace,Price/Value,4,"Yes, occasionally",Heard the term only,3,Recycled material,3,4,Designer boutique,Gifting,Glossy luxury,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,6%-10%,Limited edition packaging,3,100,Definitely would buy,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
696,Value-seeking curious buyers,35-44,Female,Tier 2,Northeast,Salaried,25k-50k,Rarely,E-commerce marketplace,Design/Aesthetics,3,"Yes, occasionally","Yes, a little",3,Vegan leather,4,3,Premium offline store,Office/professional use,Glossy luxury,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Limited edition packaging,5,100,Definitely would buy,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0
697,Skeptical traditional buyers,45-54,Male,Tier 1,North,Homemaker,Below 25k,Rarely,Shopping mall/store,Quality/Durability,2,Heard of them but never purchased,"No, never heard of it",2,No strong preference,2,2,Online store,Unlikely to buy,Classic leather-like,Handcrafted and artisanal,Supports Northeast farmers,5001-10000,10001-20000,11%-20%,First-time buyer discount,2,79,Probably would not buy,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
698,Value-seeking curious buyers,25-34,Male,Tier 3,North,Salaried,No income,Once in 2-3 months,Shopping mall/store,Price/Value,4,"Yes, occasionally",Heard the term only,2,Fabric/Canvas,4,1,Marketplace,Gifting,Matte natural,Youthful and trendy,Sustainable luxury,5001-10000,10001-20000,6%-10%,Free shipping,5,76,Definitely would buy,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1
699,Value-seeking curious buyers,35-44,Male,Tier 3,North,Homemaker,Below 25k,Once in 2-3 months,E-commerce marketplace,Price/Value,3,No,"Yes, a little",3,Natural handcrafted material,5,4,Online store,Gifting,Minimal modern,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Free shipping,5,83,Definitely would buy,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1
700,Design-first urban buyers,18-24,Male,Metro,North,Homemaker,50k-100k,Once in 2-3 months,Boutique/designer store,Quality/Durability,2,Heard of them but never purchased,"Yes, a little",4,Vegan leather,4,2,Pop-up exhibition,Unlikely to buy,Matte natural,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Customization offer,4,100,Definitely would buy,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
701,Design-first urban buyers,25-34,Female,Tier 1,South,Salaried,No income,Almost never,Shopping mall/store,Price/Value,3,"Yes, occasionally","Yes, know it well",5,No strong preference,5,3,Marketplace,Fashion/styling,Minimal modern,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Loyalty discount,5,96,Definitely would buy,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
702,Design-first urban buyers,35-44,Female,Tier 1,West,Freelancer,25k-50k,Monthly,E-commerce marketplace,Sustainability,5,No,"Yes, know it well",5,Vegan leather,4,4,Premium offline store,Daily personal use,Textured artisan,Youthful and trendy,Agri-waste innovation,Above 10000,Above 20000,11%-20%,Limited edition packaging,4,100,Definitely would buy,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0
703,Eco-conscious premium adopters,35-44,Male,Tier 1,Northeast,Salaried,50k-100k,Once in 2-3 months,Shopping mall/store,Sustainability,3,No,"Yes, a little",2,Vegan leather,5,4,Online store,Gifting,Minimal modern,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,11%-20%,First-time buyer discount,5,100,Definitely would buy,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
704,Conscious gifting buyers,45-54,Male,Metro,West,Business Owner,25k-50k,Monthly,E-commerce marketplace,Exclusivity,4,"Yes, occasionally","Yes, know it well",4,Recycled material,4,3,Social media page,Unlikely to buy,Classic leather-like,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,Combo/bundle offer,4,100,Definitely would buy,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1
705,Design-first urban buyers,18-24,Male,Metro,West,Creative Professional,25k-50k,Once in 2-3 months,E-commerce marketplace,Exclusivity,4,No,Heard the term only,2,Vegan leather,3,3,Marketplace,Office/professional use,Classic leather-like,Luxury and premium,Sustainable luxury,Above 10000,Above 20000,6%-10%,Loyalty discount,3,100,Definitely would buy,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
706,Value-seeking curious buyers,35-44,Female,Tier 3,Central,Salaried,25k-50k,Monthly,Shopping mall/store,Price/Value,5,Heard of them but never purchased,"Yes, a little",2,Natural handcrafted material,4,4,Premium offline store,Unlikely to buy,Classic leather-like,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,First-time buyer discount,4,100,Definitely would buy,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
707,Skeptical traditional buyers,35-44,Female,Tier 1,West,Homemaker,50k-100k,Rarely,Shopping mall/store,Price/Value,2,No,"No, never heard of it",1,Genuine leather,1,2,Social media page,Unlikely to buy,Minimal modern,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,0%,Loyalty discount,1,100,Probably would not buy,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
708,Skeptical traditional buyers,25-34,Prefer not to say,Tier 2,Central,Salaried,25k-50k,Rarely,Shopping mall/store,Quality/Durability,3,No,Heard the term only,1,Natural handcrafted material,2,4,Designer boutique,Office/professional use,Glossy luxury,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Free shipping,3,82,Not sure,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0
709,Value-seeking curious buyers,45-54,Female,Metro,South,Freelancer,25k-50k,Once in 2-3 months,Shopping mall/store,Sustainability,4,No,"Yes, a little",2,No strong preference,4,2,Online store,Gifting,Matte natural,Sustainable and conscious,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,4,100,Definitely would buy,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
710,Value-seeking curious buyers,18-24,Non-binary,Tier 2,Central,Salaried,25k-50k,Once in 2-3 months,Shopping mall/store,Price/Value,3,Heard of them but never purchased,"Yes, a little",3,No strong preference,4,3,Marketplace,Fashion/styling,Minimal modern,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,First-time buyer discount,5,100,Definitely would buy,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
711,Conscious gifting buyers,45-54,Female,Tier 2,East,Salaried,25k-50k,Monthly,Boutique/designer store,Exclusivity,4,"Yes, frequently",Heard the term only,3,Natural handcrafted material,4,2,Pop-up exhibition,Office/professional use,Minimal modern,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,0%,First-time buyer discount,3,100,Definitely would buy,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
712,Skeptical traditional buyers,55+,Male,Rural,South,Salaried,25k-50k,Monthly,Brand website,Quality/Durability,1,"Yes, occasionally",Heard the term only,2,Recycled material,2,2,Pop-up exhibition,Office/professional use,Minimal modern,Luxury and premium,Sustainable luxury,5001-10000,10001-20000,0%,First-time buyer discount,1,74,Definitely would not buy,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
713,Skeptical traditional buyers,35-44,Male,Rural,Central,Business Owner,25k-50k,Once in 2-3 months,Shopping mall/store,Price/Value,2,Heard of them but never purchased,"Yes, a little",2,Natural handcrafted material,2,2,Premium offline store,Daily personal use,Minimal modern,Luxury and premium,Cruelty-free innovation,Above 10000,Above 20000,6%-10%,Limited edition packaging,1,80,Definitely would not buy,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
714,Conscious gifting buyers,45-54,Female,Metro,East,Creative Professional,50k-100k,Very often,Instagram/social commerce,Brand Image,4,"Yes, occasionally",Heard the term only,2,Vegan leather,3,3,Online store,Gifting,Glossy luxury,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Customization offer,5,100,Definitely would buy,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
715,Skeptical traditional buyers,45-54,Female,Rural,Northeast,Freelancer,50k-100k,Almost never,Instagram/social commerce,Price/Value,1,"Yes, occasionally",Heard the term only,1,Genuine leather,2,3,Pop-up exhibition,Daily personal use,Matte natural,Youthful and trendy,Sustainable luxury,5001-10000,10001-20000,Up to 5%,Combo/bundle offer,3,78,Definitely would not buy,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1
716,Eco-conscious premium adopters,25-34,Female,Tier 1,Northeast,Creative Professional,25k-50k,Once in 2-3 months,Boutique/designer store,Exclusivity,5,Heard of them but never purchased,"Yes, a little",4,Genuine leather,4,3,Premium offline store,Fashion/styling,Classic leather-like,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,First-time buyer discount,5,100,Definitely would buy,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
717,Value-seeking curious buyers,35-44,Male,Tier 1,South,Salaried,100k-200k,Once in 2-3 months,Instagram/social commerce,Price/Value,3,Heard of them but never purchased,"Yes, a little",3,No strong preference,3,2,Premium offline store,Office/professional use,Classic leather-like,Handcrafted and artisanal,Sustainable luxury,Above 10000,Above 20000,11%-20%,Loyalty discount,4,100,Definitely would buy,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1
718,Eco-conscious premium adopters,25-34,Male,Metro,West,Homemaker,No income,Rarely,E-commerce marketplace,Design/Aesthetics,4,No,"Yes, know it well",5,Vegan leather,3,3,Premium offline store,Special occasions,Glossy luxury,Luxury and premium,Cruelty-free innovation,5001-10000,10001-20000,6%-10%,Combo/bundle offer,3,78,Definitely would buy,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0
719,Value-seeking curious buyers,25-34,Male,Tier 3,North,Salaried,Above 200k,Once in 2-3 months,Brand website,Design/Aesthetics,1,Heard of them but never purchased,"Yes, a little",2,Vegan leather,3,3,Premium offline store,Unlikely to buy,Minimal modern,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Loyalty discount,3,100,Not sure,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0
720,Conscious gifting buyers,45-54,Female,Tier 2,South,Creative Professional,50k-100k,Rarely,Shopping mall/store,Quality/Durability,4,Heard of them but never purchased,"Yes, know it well",3,Natural handcrafted material,3,3,Premium offline store,Unlikely to buy,Glossy luxury,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Customization offer,3,100,Definitely would buy,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
